study,fold,auc
PRJEB41443,fold_1,0.7647058823529411
PRJEB41443,fold_2,0.9166666666666667
PRJEB41443,fold_3,0.9351851851851852
PRJEB41443,fold_4,0.9166666666666667
PRJEB41443,fold_5,0.6435185185185185
PRJNA560950,fold_1,0.45684523809523814
PRJNA560950,fold_2,0.6644736842105263
PRJNA560950,fold_3,0.5606060606060606
PRJNA560950,fold_4,0.9337500000000001
PRJNA560950,fold_5,0.8463541666666667
PRJNA780023,fold_1,0.4883333333333334
PRJNA780023,fold_2,0.5431034482758621
PRJNA780023,fold_3,0.49310344827586206
PRJNA780023,fold_4,0.6216666666666666
PRJNA780023,fold_5,0.5408333333333333
PRJNA891951,fold_1,0.7528571428571429
PRJNA891951,fold_2,0.7163825757575758
PRJNA891951,fold_3,0.7062410329985653
PRJNA891951,fold_4,0.6737132352941176
PRJNA891951,fold_5,0.7304147465437788
PRJNA293971,fold_1,0.6875
PRJNA293971,fold_2,0.734375
PRJNA293971,fold_3,0.6875
PRJNA293971,fold_4,0.6875
PRJNA293971,fold_5,0.5
PRJNA306884,fold_1,0.7008928571428571
PRJNA306884,fold_2,0.7933333333333333
PRJNA306884,fold_3,0.7479166666666668
PRJNA306884,fold_4,0.9104166666666667
PRJNA306884,fold_5,0.7875
PRJNA428736,fold_1,0.6373456790123456
PRJNA428736,fold_2,0.7486237167088231
PRJNA428736,fold_3,0.7421125386241666
PRJNA428736,fold_4,0.7379541446208113
PRJNA428736,fold_5,0.7925460260440054
