"","PRJNA891951","PRJEB41443","PRJNA293971","PRJNA306884","PRJNA385004","PRJNA428736","PRJNA560950","PRJNA780023","all"
"MJ006-1-barcode33-umi150609bins-ubs-3",0.970212887982653,NA,NA,0.0171118778433062,NA,1.49811404545051e-18,NA,0.755552203434312,0.000237486974138464
"RS-GCF-003461005.1-NZ-QTWG01000138.1",0.970212887982653,0.26599772451543,NA,0.20829199876033,NA,0.000143667017326469,0.0129813842851732,0.750747081984911,0.00484083134765063
"G000469345",0.970212887982653,0.16121287537976,NA,0.00218305740377161,NA,0.000209215712104773,0.0604567918451258,0.852825992766194,0.0115092211322996
"MJ006-1-barcode31-umi166219bins-ubs-3",0.970212887982653,NA,NA,0.0143917510147362,0.998106914747202,1.23958062131106e-07,NA,NA,0.0162655300419035
"MJ006-1-barcode37-umi101248bins-ubs-4",0.970212887982653,NA,0.722896042884506,NA,NA,NA,0.275670890307131,NA,0.0232248649637103
"GB-GCA-900762515.1-CAAFHA010000156.1",NA,0.316224475361655,0.875730035661648,3.52098281531492e-08,NA,0.00250166942818947,0.191157300833404,0.818212881923533,0.0263251545761068
"RS-GCF-013304685.1-NZ-JAAITH010000167.1",0.970212887982653,NA,NA,3.05786419418975e-06,NA,0.0689170801422597,0.0247754303509797,0.99249325255398,0.0453569878347896
"MJ006-2-barcode71-umi90879bins-ubs-5",0.998808663472953,NA,NA,0.101208675049717,NA,3.22895872452659e-07,0.621406125943243,0.750747081984911,0.0507344042434225
"RS-GCF-013305145.1-NZ-JAAWUT010000083.1",NA,NA,NA,0.0468110173305171,NA,0.0171095412965652,0.132108735733529,0.850879719495542,0.0554887553553128
"MJ006-2-barcode52-umi11005bins-ubs-18",0.999946493964623,NA,NA,0.0106091105980806,NA,0.001853827662329,0.038418063977439,0.975645641460529,0.0653724689362722
"MJ032-1-barcode44-umi36862bins-ubs-10",NA,0.980070688746722,NA,0.00214907127645928,NA,1.12284443795219e-05,NA,0.967576571891833,0.0654092125524163
"RS-GCF-000210015.1-NC-021022.1",0.999946493964623,NA,0.815261376719168,0.484406181664693,NA,0.000533868415192451,0.0957151072426284,0.903727659693214,0.0690822622395599
"GB-GCA-900767615.1-CAAFZU010000193.1",0.970212887982653,0.997737653862925,0.930771088692975,0.927651729934333,NA,0.426710209963419,0.0426197680769855,0.750747081984911,0.0799120346895926
"RS-GCF-007556425.1-NZ-RWHY01000133.1",NA,NA,NA,0.0199479073064909,NA,1.33544114292191e-05,NA,0.774010825226567,0.0803233852863078
"RS-GCF-009881395.1-NZ-WWVG01000042.1",0.970212887982653,NA,0.808939742820116,NA,0.998106914747202,NA,0.187052610430042,NA,0.083734942422113
"G902363025",0.990689214232784,0.534341626479372,0.725322894283968,0.00167860926152794,NA,0.000533868415192451,0.203663657600226,0.820763637537287,0.0887060144988634
"KY978733",0.970212887982653,NA,0.95007269250572,0.54602194024821,NA,0.000259692127016397,NA,0.750747081984911,0.0953914550682127
"MJ006-2-barcode53-umi105580bins-ubs-4",0.999946493964623,NA,NA,0.000654803639838032,NA,0.0983994777570282,0.118777113467549,NA,0.0997414369868498
"MJ006-1-barcode39-umi169644bins-ubs-3",NA,NA,NA,0.467418459149472,NA,0.209871196301524,0.013813805967272,0.595017071024093,0.0393991886781488
"RS-GCF-000702865.1-NZ-JNKM01000001.1",0.999946493964623,0.198617750487036,NA,2.73511400512017e-10,NA,3.85552151490321e-15,NA,NA,0.00244728409018226
