"R2","pvalue","study","metric","Compare","Pvalue"
0.00331949161155107,0.001,"PRJNA428736","Bray Curtis","Control vs. Fiber","P < 0.05"
0.00234010439755398,0.979,"PRJNA780023","Bray Curtis","Control vs. Fiber","ns"
0.0168535005939415,0.001,"PRJNA560950","Bray Curtis","Control vs. Fiber","P < 0.05"
0.0180226144529216,0.813,"PRJEB2165","Bray Curtis","Control vs. Fiber","ns"
0.00456314193492056,1,"PRJNA293971","Bray Curtis","Control vs. Fiber","ns"
0.0186449154606776,0.001,"PRJNA306884","Bray Curtis","Control vs. Fiber","P < 0.05"
0.00299295703681028,0.551,"PRJNA891951","Bray Curtis","Control vs. Fiber","ns"
0.0121846243001794,0.052,"PRJEB41443","Bray Curtis","Control vs. Fiber","ns"
0.00181350862353574,0.001,"PRJNA428736","Jaccard","Control vs. Fiber","P < 0.05"
0.00253526235613937,0.999,"PRJNA780023","Jaccard","Control vs. Fiber","ns"
0.0124215399949519,0.001,"PRJNA560950","Jaccard","Control vs. Fiber","P < 0.05"
0.0162532900687383,0.963,"PRJEB2165","Jaccard","Control vs. Fiber","ns"
0.00659937962860816,1,"PRJNA293971","Jaccard","Control vs. Fiber","ns"
0.00398461478417455,0.982,"PRJNA306884","Jaccard","Control vs. Fiber","ns"
0.00267622080456219,0.877,"PRJNA891951","Jaccard","Control vs. Fiber","ns"
0.00490689302833051,0.997,"PRJEB41443","Jaccard","Control vs. Fiber","ns"
0.00556351989052865,0.002,"PRJNA428736","Weighted UniFrac","Control vs. Fiber","P < 0.05"
0.00154376103250067,0.892,"PRJNA780023","Weighted UniFrac","Control vs. Fiber","ns"
0.0130953089512857,0.008,"PRJNA560950","Weighted UniFrac","Control vs. Fiber","P < 0.05"
0.01526555738211,0.63,"PRJEB2165","Weighted UniFrac","Control vs. Fiber","ns"
0.00371564714740659,0.993,"PRJNA293971","Weighted UniFrac","Control vs. Fiber","ns"
0.0332742096112087,0.003,"PRJNA306884","Weighted UniFrac","Control vs. Fiber","P < 0.05"
0.00277156374713782,0.428,"PRJNA891951","Weighted UniFrac","Control vs. Fiber","ns"
0.0167251775571844,0.074,"PRJEB41443","Weighted UniFrac","Control vs. Fiber","ns"
0.00194751944388006,0.004,"PRJNA428736","Unweighted UniFrac","Control vs. Fiber","P < 0.05"
0.003128084901466,0.842,"PRJNA780023","Unweighted UniFrac","Control vs. Fiber","ns"
0.0119144001158853,0.001,"PRJNA560950","Unweighted UniFrac","Control vs. Fiber","P < 0.05"
0.0180350089681489,0.786,"PRJEB2165","Unweighted UniFrac","Control vs. Fiber","ns"
0.0068406512438904,0.999,"PRJNA293971","Unweighted UniFrac","Control vs. Fiber","ns"
0.00443139799551284,0.89,"PRJNA306884","Unweighted UniFrac","Control vs. Fiber","ns"
0.00335875537473958,0.318,"PRJNA891951","Unweighted UniFrac","Control vs. Fiber","ns"
0.00619130414898402,0.854,"PRJEB41443","Unweighted UniFrac","Control vs. Fiber","ns"
0.00283545455166971,0.001,"Combined","Bray Curtis","Control vs. Fiber","P < 0.05"
0.00182920193170254,0.006,"Combined","Jaccard","Control vs. Fiber","P < 0.05"
0.00502127440849634,0.022,"Combined","Weighted UniFrac","Control vs. Fiber","P < 0.05"
0.0013983133200157,0.015,"Combined","Unweighted UniFrac","Control vs. Fiber","P < 0.05"
