"study_id","p_value","fold_change","alpha_diversity","es_g","var_g"
"PRJNA428736",0.00101874637762652,0.965035420389532,"shannon",-0.198238563261215,0.00356591144636389
"PRJNA780023",0.474427326843911,0.984741314169196,"shannon",-0.0948946437335786,0.0167750233100001
"PRJNA560950",2.39940714411951e-08,0.936595639678977,"shannon",-0.823761910521731,0.0228684401808904
"PRJNA293971",0.226049818733867,0.975067167119916,"shannon",-0.321382380727045,0.0758835215500795
"PRJNA306884",0.0172341184537631,0.961569988051547,"shannon",-0.386183519681492,0.0266461102598105
"PRJNA891951",0.0425675376480336,0.969808874115748,"shannon",-0.226978759666742,0.0126844352314361
"PRJEB41443",0.0137820854905117,0.954271487633298,"shannon",-0.532386365384922,0.0469354267228015
"Combine",0.000374278823703357,NA,"shannon",-0.347899481027523,0.00956305796434153
"PRJNA428736",0.106752275877011,0.976509777814873,"faith_pd",-0.0958143343948829,0.00355308973384338
"PRJNA780023",0.588889635141314,1.01451975172439,"faith_pd",0.0705650133282472,0.0167668574705074
"PRJNA560950",0.00481228942795823,0.930748257117012,"faith_pd",-0.42436567477457,0.0215934166490634
"PRJNA293971",0.414914778855877,0.960259632698223,"faith_pd",-0.223344601287944,0.0754267012724654
"PRJNA306884",0.0931296105054588,0.954538993627895,"faith_pd",-0.272079360591263,0.0263981902745122
"PRJNA891951",0.0994872185372091,0.957842524234392,"faith_pd",-0.18477836790247,0.0126569837299524
"PRJEB41443",0.0700790720497009,0.9274884802002,"faith_pd",-0.351312139950908,0.0462485242619179
"Combine",0.0064905756750738,NA,"faith_pd",-0.173298956626184,0.00405363160112703
"PRJNA428736",0.00259395741719569,0.946705319415606,"observed_features",-0.178637853980704,0.00356276667831194
"PRJNA780023",0.547418617345549,1.02097399917458,"observed_features",0.0785050178573761,0.0167692584270549
"PRJNA560950",6.56060425138598e-06,0.873082800777994,"observed_features",-0.691218803285914,0.0223548466996923
"PRJNA293971",0.255982237467923,0.940348730498623,"observed_features",-0.329353878617618,0.0759278944652733
"PRJNA306884",0.0104618150396752,0.917515496521189,"observed_features",-0.416582950829778,0.0267266602290263
"PRJNA891951",0.0324731826955325,0.923758655268146,"observed_features",-0.239402643680712,0.012693589151347
"PRJEB41443",0.0276700867279483,0.900660433326633,"observed_features",-0.419307665890695,0.0464734581134739
"Combine",0.00250822508168732,NA,"observed_features",-0.29219062724643,0.00934638777760879
